Title,Authority,Year,Type,Link,Note
Martindale: The Complete Drug Reference,Pharmaceutical Press (Royal Pharmaceutical Society),,Drug Reference (Comprehensive),,Exhaustive international drug-information reference used by regulators and pharmacists. Publisher: Pharmaceutical Press.
Ansel's Pharmaceutical Dosage Forms and Drug Delivery Systems,"Allen Jr., Popovich, Ansel",,Pharmaceutics,,Standard text on dosage form design and drug delivery for pharmacy students. Publisher: Lippincott Williams & Wilkins.
Aulton's Pharmaceutics: The Design and Manufacture of Medicines,"Michael E. Aulton, Kevin M.G. Taylor (Eds.)",,Pharmaceutics/Industrial Pharmacy,,Leading reference on formulation science and pharmaceutical manufacturing. Publisher: Elsevier.
Clarke's Analysis of Drugs and Poisons,"Moffat, Osselton, Widdop (Eds.)",,Pharmaceutical/Forensic Analysis,,Standard reference for analytical/forensic identification of drugs and poisons. Publisher: Pharmaceutical Press.
Harrison's Principles of Internal Medicine,"Loscalzo, Fauci, Kasper, et al. (Eds.)",,Internal Medicine (Reference),,Leading internal medicine reference frequently cited alongside pharmacology texts. Publisher: McGraw Hill.
Indian Pharmacopoeia (IP),Indian Pharmacopoeia Commission,,Official Drug Standards Compendium (India),,"Legally binding Indian quality standards for drugs and excipients. Publisher: IPC, Govt. of India."
British Pharmacopoeia (BP),MHRA / British Pharmacopoeia Commission,,Official Drug Standards Compendium (UK),,"Official UK/European-aligned drug standards, historically influential in India. Publisher: The Stationery Office / Pharmacopoeia.com."
United States Pharmacopeia–National Formulary (USP–NF),United States Pharmacopeial Convention,,Official Drug Standards Compendium (USA),,"Legally recognized U.S. drug-quality compendium, referenced internationally. Publisher: USP."
Wilson and Gisvold's Textbook of Organic Medicinal and Pharmaceutical Chemistry,"Block, Beale (Eds.)",,Medicinal Chemistry,,Standard medicinal chemistry reference for structure-activity relationships. Publisher: Lippincott Williams & Wilkins.
Foye's Principles of Medicinal Chemistry,"Lemke, Williams (Eds.)",,Medicinal Chemistry,,Comprehensive drug-design and medicinal-chemistry reference. Publisher: Lippincott Williams & Wilkins.
Textbook of Biopharmaceutics and Pharmacokinetics,"D. M. Brahmankar, Sunil B. Jaiswal",,Biopharmaceutics/Pharmacokinetics,,Standard Indian textbook on biopharmaceutics and pharmacokinetic principles. Publisher: Vallabh Prakashan.
Pharmaceutical Practice (Rutter's),"Rutter, Newby (Eds.)",,Pharmacy Practice,,Practice-oriented reference for community and clinical pharmacy skills. Publisher: Elsevier.
Pharmacotherapy: A Pathophysiologic Approach,"DiPiro, Yee, Posey, et al. (Eds.)",,Clinical Pharmacotherapy,,Leading clinical-pharmacy reference linking disease pathophysiology to drug therapy. Publisher: McGraw Hill.
Essentials of Pharmacoeconomics,Karen Rascati,,Pharmacoeconomics,,Standard introductory text on pharmacoeconomic evaluation methods. Publisher: Lippincott Williams & Wilkins.
Introduction to Clinical Pharmacology,"Constance G. Visovsky, Cheryl Zambroski, Shirley Hosler",,Clinical Pharmacology (Nursing/Allied Health adjunct),,Accessible foundational clinical pharmacology reference for allied health students. Publisher: Elsevier.
Shodhganga,"INFLIBNET Centre, UGC, Govt. of India",,National Thesis Repository (India),https://shodhganga.inflibnet.ac.in,"Free full-text repository of Indian doctoral theses across all universities, including pharmacy."
Shodhgangotri,INFLIBNET Centre,,Synopsis Repository (India),https://shodhgangotri.inflibnet.ac.in,Repository of PhD research synopses/proposals from Indian universities.
ProQuest Dissertations & Theses Global,ProQuest,,International Thesis Database,https://www.proquest.com/products-services/pqdtglobal.html,Largest international database of graduate dissertations and theses.
EThOS (Electronic Theses Online Service),British Library,,National Thesis Repository (UK),https://ethos.bl.uk,Repository of UK doctoral theses (service undergoing periodic restoration — check current status).
DART-Europe E-theses Portal,DART-Europe Consortium,,Regional Thesis Portal (Europe),https://www.dart-europe.org,Access point for full-text European doctoral theses.
National Digital Library of India (NDLI) – Thesis Section,IIT Kharagpur / Ministry of Education,,National Digital Repository (India),https://ndli.gov.in,Aggregates theses alongside books and articles for Indian students.
OATD (Open Access Theses and Dissertations),OATD.org,,Global Thesis Aggregator,https://oatd.org,Indexes millions of open-access theses/dissertations from universities worldwide.
NDLTD (Networked Digital Library of Theses and Dissertations),NDLTD Consortium,,Global Thesis Network,https://www.ndltd.org,International network promoting access to electronic theses and dissertations.
Core.ac.uk – Theses Filter,Jisc & Open University,,Open Access Aggregator (Theses),https://core.ac.uk,Can be filtered to surface open-access theses among aggregated research.
"University Institutional Repositories (e.g., IIT, NIPER, university library portals)",Respective Universities,,Institutional Repository,Varies (search: '[university name] institutional repository'),"Many Indian pharmacy institutes (e.g., NIPER) host their own open thesis repositories."
WHO Global Health Observatory (GHO),World Health Organization,,Health Data/Survey Portal,https://www.who.int/data/gho,"Global health statistics, medicine-access indicators, and country health profiles."
"National Family Health Survey (NFHS), India",Ministry of Health & Family Welfare / IIPS,,National Health Survey,http://rchiips.org/nfhs,"India's principal demographic and health survey, incl. medicine use and maternal health."
IQVIA Institute for Human Data Science,IQVIA,,Pharma Industry Research Reports,https://www.iqvia.com/insights/the-iqvia-institute,Widely cited global pharmaceutical market and medicine-use trend reports.
Statista – Pharmaceutical Industry Statistics,Statista GmbH,,Market Data/Survey Aggregator,https://www.statista.com/markets/412/topic/477/pharmaceuticals,"Aggregated statistics and survey data on pharma markets, sales, and R&D spend."
Indian Pharmaceutical Alliance (IPA) – Reports & Publications,Indian Pharmaceutical Alliance,,Industry Association Reports,https://www.ipa-india.org,Reports on the Indian generics/pharma industry from a leading trade body.
Pharmexcil (Pharmaceuticals Export Promotion Council of India),"Ministry of Commerce, Govt. of India",,Trade/Export Survey Data,https://www.pharmexcil.com,Export statistics and industry survey reports for Indian pharma.
World Health Survey / WHO Study on Global Ageing and Adult Health (SAGE),World Health Organization,,International Health Survey,https://www.who.int/data/data-collection-tools/study-on-global-ageing-and-adult-health,Cross-country survey data on health status and medicine access in adults.
"National Sample Survey Office (NSSO) – Health Rounds, India","Ministry of Statistics & Programme Implementation, Govt. of India",,National Statistical Survey,https://www.mospi.gov.in,Periodic government survey rounds covering healthcare expenditure and access in India.
Ipsos Global Health Service Surveys,Ipsos,,Market Research Surveys,https://www.ipsos.com/en/health,Global consumer/patient survey data relevant to pharmaceutical marketing and access research.
Deloitte – Global Life Sciences and Health Care Industry Outlook,Deloitte,,Industry Survey Report,https://www2.deloitte.com/global/en/industries/life-sciences-health-care.html,Annual industry-outlook reports frequently cited in pharma-management coursework.
McKinsey & Company – Pharmaceuticals & Medical Products Insights,McKinsey & Company,,Industry Survey/Analysis,https://www.mckinsey.com/industries/life-sciences,Strategic industry reports and survey-based insights on pharma trends.
PwC – Pharma and Life Sciences Industry Reports,PricewaterhouseCoopers,,Industry Survey Report,https://www.pwc.com/gx/en/industries/pharmaceuticals-life-sciences.html,Periodic survey-based industry outlook and regulatory-trend reports.
CPhI Annual Pharma Industry Report,CPhI (Informa Markets),,Industry Survey Report,https://www.cphi.com/europe/en/discover/cphi-annual-report.html,Annual industry survey compiling expert opinion on global pharma trends.
"National Institute of Health and Family Welfare (NIHFW) Surveys, India","NIHFW, Govt. of India",,National Health Research Body,https://www.nihfw.ac.in,Publishes survey-based health-systems research relevant to Indian pharmacy practice.
Drug Utilization Research Group (DURG) / WHO Drug Utilization Studies,WHO / International DURG network,,Drug-Use Survey Methodology & Reports,https://www.who.int/teams/health-product-and-policy-standards,Standardized methodology and published survey data on real-world medicine utilization.
"New Drugs and Clinical Trials Rules, 2019 (as amended)","CDSCO / MoHFW, Govt. of India",2019,Indian regulation,"https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2022/new_DC_rules/NEW%20DRUGS%20ANDctrS%20RULE,%202019.pdf","GSR 227(E), 19-03-2019. Covers new drugs, investigational new drugs, clinical trials, BA/BE studies and ethics committees. CDSCO copy shows 2022 amendments; check for the latest."
"Drugs and Cosmetics Act, 1940 and Drugs and Cosmetics Rules, 1945","CDSCO / MoHFW, Govt. of India",1940 / 1945,Indian regulation,https://cdsco.gov.in,"Parent law for drug manufacture, sale and import in India. Find the Act and Rules in the CDSCO website's Acts & Rules section."
CDSCO status at ICH (observer),ICH / CDSCO,2016,Regulatory status,https://fdanews.com/articles/196280-ich-to-bring-india-on-board,Joined ICH as observer in Feb 2016 (no voting rights) per a March 2020 report. Verify current status on ich.org. ICH guidelines are technical references; binding law in India is the D&C Act/Rules and NDCT Rules.
CDSCO Good Clinical Practice guidelines (draft),CDSCO,2024,Indian guideline (draft),https://www.regdesk.co/blog/cdsco-guidance-on-good-clinical-practices-overview/,Draft released Sept 2024 for 30-day consultation; aligned with NDCT Rules 2019 and draws on ICH E6(R3). Link is a secondary summary; check cdsco.gov.in for final status.
Indian Pharmacopoeia (IP) - monographs incl. paracetamol and ibuprofen,"Indian Pharmacopoeia Commission (IPC), MoHFW",2022,Pharmacopoeia,https://ipc.gov.in,"Legal quality standards (identity, purity, strength). IP 2022 is the edition I have; IPC has announced a 2026 edition, so check the latest before citing."
Pharmacovigilance Programme of India (PvPI),IPC (National Coordination Centre) / MoHFW,2010,Pharmacovigilance,https://ipc.gov.in/PvPI/about.html,"Launched July 2010; coordination centre moved to IPC in April 2011. ADR reports for any drug, including paracetamol and ibuprofen, go through this network."
National List of Essential Medicines (NLEM) 2022,"MoHFW, Govt. of India",2022,Essential medicines list,https://main.mohfw.gov.in/newshighlights-104,384 medicines; NLEM drugs fall under NPPA price control. Confirm the exact paracetamol and ibuprofen entries (strengths/levels of care) in the analgesic/NSAID section.
ICH E6(R3) Good Clinical Practice,ICH,2025,ICH guideline - Efficacy,https://www.ich.org/page/efficacy-guidelines,Finalised Jan 2025. Global GCP standard behind India's clinical trial practice; link opens ICH Efficacy guidelines page.
ICH E2E Pharmacovigilance Planning,ICH,2004,ICH guideline - Efficacy,https://www.ich.org/page/efficacy-guidelines,Framework for safety specification and pharmacovigilance plans; relevant to PvPI-style post-marketing monitoring.
ICH E2C(R2) Periodic Benefit-Risk Evaluation Report (PBRER),ICH,2012,ICH guideline - Efficacy,https://www.ich.org/page/efficacy-guidelines,Periodic safety reporting format; India's PSUR requirements are separate but related.
ICH Q1A(R2) Stability Testing of New Drug Substances and Products,ICH,2003,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Basis for stability studies of paracetamol and ibuprofen dosage forms. The Q1 series is under revision; check ich.org for the current version.
ICH Q2(R2) Validation of Analytical Procedures,ICH,2023,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Applies to assay and related-substances methods (e.g. HPLC/UV) for paracetamol and ibuprofen.
ICH Q3A(R2) Impurities in New Drug Substances,ICH,2006,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,"Reporting, identification and qualification thresholds for drug substance impurities (e.g. 4-aminophenol is a known paracetamol related substance)."
ICH Q3B(R2) Impurities in New Drug Products,ICH,2006,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Degradation products in finished dosage forms.
ICH Q3C(R8) Residual Solvents,ICH,2021,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Permitted daily exposure limits for residual solvents in APIs and products.
ICH Q3D(R2) Elemental Impurities,ICH,2022,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Risk-based control of elemental impurities in drug products.
ICH Q6A Specifications: Test Procedures and Acceptance Criteria (Chemical Substances),ICH,1999,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Framework for setting specifications for drug substances and tablets/oral liquids.
ICH Q8(R2) Pharmaceutical Development,ICH,2009,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Quality by Design principles for formulation development.
ICH Q9(R1) Quality Risk Management,ICH,2023,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Risk management framework across the product lifecycle.
ICH Q10 Pharmaceutical Quality System,ICH,2008,ICH guideline - Quality,https://www.ich.org/page/quality-guidelines,Quality system model that complements GMP.
ICH M4(R4) Common Technical Document (CTD),ICH,2016,ICH guideline - Multidisciplinary,https://www.ich.org/page/multidisciplinary-guidelines,Standard dossier format for registration applications.
ICH M9 Biopharmaceutics Classification System-based Biowaivers,ICH,2019,ICH guideline - Multidisciplinary,https://www.ich.org/page/multidisciplinary-guidelines,Criteria for waiving in vivo BE studies for some oral products; check the drug's BCS class in the literature before applying.
"Paracetamol: mechanism of action, applications and safety concern","Acta Pol Pharm (Jozwiak-Bebenista M, Nowak JZ)",2014,PubMed - Review,https://pubmed.ncbi.nlm.nih.gov/24779190/,"PMID 24779190. Covers mechanisms, uses and hepatotoxicity risk with high doses (>4 g/day). Paracetamol."
An Updated Review on the Metabolite (AM404)-Mediated Central Mechanism of Action of Paracetamol (Acetaminophen),"J Pain Res (Mallet C, Desmeules J, Pegahi R, Eschalier A)",2023,PubMed - Review,https://pubmed.ncbi.nlm.nih.gov/37016715/,"PMID 37016715. Central, COX-independent analgesic mechanism via AM404; notes NAPQI-mediated liver necrosis at high doses. Paracetamol."
"Ibuprofen: pharmacology, efficacy and safety",Inflammopharmacology (Rainsford KD),2009,PubMed - Review,https://pubmed.ncbi.nlm.nih.gov/19949916/,"PMID 19949916. Comprehensive review of ibuprofen pharmacology, clinical use and safety, including comparison with paracetamol. Ibuprofen."
Single dose oral ibuprofen plus paracetamol (acetaminophen) for acute postoperative pain,"Cochrane Database Syst Rev (Derry CJ, Derry S, Moore RA)",2013,PubMed - Cochrane review,https://www.cochrane.org/evidence/CD010210_single-dose-oral-ibuprofen-plus-paracetamol-acetaminophen-acute-postoperative-pain,CD010210. Three trials (1647 people): the combination outperformed either drug alone. Both drugs. Link goes to the Cochrane page.
PubMed live search: paracetamol systematic reviews,NCBI / National Library of Medicine,Live search,PubMed - search,https://pubmed.ncbi.nlm.nih.gov/?term=paracetamol+AND+systematic%5Bsb%5D,Always-current list of systematic reviews on paracetamol.
PubMed live search: ibuprofen systematic reviews,NCBI / National Library of Medicine,Live search,PubMed - search,https://pubmed.ncbi.nlm.nih.gov/?term=ibuprofen+AND+systematic%5Bsb%5D,Always-current list of systematic reviews on ibuprofen.
PubMed live search: paracetamol or ibuprofen with India affiliation,NCBI / National Library of Medicine,Live search,PubMed - search,https://pubmed.ncbi.nlm.nih.gov/?term=%28paracetamol+OR+ibuprofen%29+AND+India%5Bad%5D,Studies with an Indian author affiliation; useful for India-specific data.
Paracetamol,NCBI PubChem,,Syllabus drug — Analgesic/antipyretic,https://pubchem.ncbi.nlm.nih.gov/#query=Paracetamol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Ibuprofen,NCBI PubChem,,Syllabus drug — NSAID,https://pubchem.ncbi.nlm.nih.gov/#query=Ibuprofen,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Aspirin,NCBI PubChem,,Syllabus drug — NSAID / antiplatelet,https://pubchem.ncbi.nlm.nih.gov/#query=Aspirin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Diclofenac,NCBI PubChem,,Syllabus drug — NSAID,https://pubchem.ncbi.nlm.nih.gov/#query=Diclofenac,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Naproxen,NCBI PubChem,,Syllabus drug — NSAID,https://pubchem.ncbi.nlm.nih.gov/#query=Naproxen,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Indomethacin,NCBI PubChem,,Syllabus drug — NSAID,https://pubchem.ncbi.nlm.nih.gov/#query=Indomethacin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Ketorolac,NCBI PubChem,,Syllabus drug — NSAID,https://pubchem.ncbi.nlm.nih.gov/#query=Ketorolac,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Meloxicam,NCBI PubChem,,Syllabus drug — NSAID,https://pubchem.ncbi.nlm.nih.gov/#query=Meloxicam,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Celecoxib,NCBI PubChem,,Syllabus drug — COX-2 selective NSAID,https://pubchem.ncbi.nlm.nih.gov/#query=Celecoxib,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Etodolac,NCBI PubChem,,Syllabus drug — NSAID,https://pubchem.ncbi.nlm.nih.gov/#query=Etodolac,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Mefenamic acid,NCBI PubChem,,Syllabus drug — NSAID,https://pubchem.ncbi.nlm.nih.gov/#query=Mefenamic%20acid,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Tramadol,NCBI PubChem,,Syllabus drug — Opioid analgesic,https://pubchem.ncbi.nlm.nih.gov/#query=Tramadol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Morphine,NCBI PubChem,,Syllabus drug — Opioid analgesic,https://pubchem.ncbi.nlm.nih.gov/#query=Morphine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Codeine,NCBI PubChem,,Syllabus drug — Opioid analgesic,https://pubchem.ncbi.nlm.nih.gov/#query=Codeine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Fentanyl,NCBI PubChem,,Syllabus drug — Opioid analgesic,https://pubchem.ncbi.nlm.nih.gov/#query=Fentanyl,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Buprenorphine,NCBI PubChem,,Syllabus drug — Opioid analgesic,https://pubchem.ncbi.nlm.nih.gov/#query=Buprenorphine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Pentazocine,NCBI PubChem,,Syllabus drug — Opioid analgesic,https://pubchem.ncbi.nlm.nih.gov/#query=Pentazocine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Naloxone,NCBI PubChem,,Syllabus drug — Opioid antagonist,https://pubchem.ncbi.nlm.nih.gov/#query=Naloxone,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Atropine,NCBI PubChem,,Syllabus drug — Antimuscarinic,https://pubchem.ncbi.nlm.nih.gov/#query=Atropine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Scopolamine,NCBI PubChem,,Syllabus drug — Antimuscarinic,https://pubchem.ncbi.nlm.nih.gov/#query=Scopolamine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Neostigmine,NCBI PubChem,,Syllabus drug — Acetylcholinesterase inhibitor,https://pubchem.ncbi.nlm.nih.gov/#query=Neostigmine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Physostigmine,NCBI PubChem,,Syllabus drug — Acetylcholinesterase inhibitor,https://pubchem.ncbi.nlm.nih.gov/#query=Physostigmine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Pilocarpine,NCBI PubChem,,Syllabus drug — Muscarinic agonist,https://pubchem.ncbi.nlm.nih.gov/#query=Pilocarpine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Bethanechol,NCBI PubChem,,Syllabus drug — Muscarinic agonist,https://pubchem.ncbi.nlm.nih.gov/#query=Bethanechol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Adrenaline,NCBI PubChem,,Syllabus drug — Adrenergic agonist,https://pubchem.ncbi.nlm.nih.gov/#query=Adrenaline,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Noradrenaline,NCBI PubChem,,Syllabus drug — Adrenergic agonist,https://pubchem.ncbi.nlm.nih.gov/#query=Noradrenaline,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Dopamine,NCBI PubChem,,Syllabus drug — Adrenergic agonist,https://pubchem.ncbi.nlm.nih.gov/#query=Dopamine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Isoprenaline,NCBI PubChem,,Syllabus drug — ?-adrenergic agonist,https://pubchem.ncbi.nlm.nih.gov/#query=Isoprenaline,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Salbutamol,NCBI PubChem,,Syllabus drug — ?2 agonist,https://pubchem.ncbi.nlm.nih.gov/#query=Salbutamol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Terbutaline,NCBI PubChem,,Syllabus drug — ?2 agonist,https://pubchem.ncbi.nlm.nih.gov/#query=Terbutaline,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Salmeterol,NCBI PubChem,,Syllabus drug — Long-acting ?2 agonist,https://pubchem.ncbi.nlm.nih.gov/#query=Salmeterol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Formoterol,NCBI PubChem,,Syllabus drug — Long-acting ?2 agonist,https://pubchem.ncbi.nlm.nih.gov/#query=Formoterol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Propranolol,NCBI PubChem,,Syllabus drug — ? blocker,https://pubchem.ncbi.nlm.nih.gov/#query=Propranolol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Atenolol,NCBI PubChem,,Syllabus drug — ?1 selective blocker,https://pubchem.ncbi.nlm.nih.gov/#query=Atenolol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Metoprolol,NCBI PubChem,,Syllabus drug — ?1 selective blocker,https://pubchem.ncbi.nlm.nih.gov/#query=Metoprolol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Labetalol,NCBI PubChem,,Syllabus drug — ?/? blocker,https://pubchem.ncbi.nlm.nih.gov/#query=Labetalol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Carvedilol,NCBI PubChem,,Syllabus drug — ?/? blocker,https://pubchem.ncbi.nlm.nih.gov/#query=Carvedilol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Phenylephrine,NCBI PubChem,,Syllabus drug — ?1 agonist,https://pubchem.ncbi.nlm.nih.gov/#query=Phenylephrine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Clonidine,NCBI PubChem,,Syllabus drug — ?2 agonist,https://pubchem.ncbi.nlm.nih.gov/#query=Clonidine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Prazozin,NCBI PubChem,,Syllabus drug — ?1 blocker,https://pubchem.ncbi.nlm.nih.gov/#query=Prazozin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Losartan,NCBI PubChem,,Syllabus drug — ARB,https://pubchem.ncbi.nlm.nih.gov/#query=Losartan,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Valsartan,NCBI PubChem,,Syllabus drug — ARB,https://pubchem.ncbi.nlm.nih.gov/#query=Valsartan,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Telmisartan,NCBI PubChem,,Syllabus drug — ARB,https://pubchem.ncbi.nlm.nih.gov/#query=Telmisartan,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Enalapril,NCBI PubChem,,Syllabus drug — ACE inhibitor,https://pubchem.ncbi.nlm.nih.gov/#query=Enalapril,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Lisinopril,NCBI PubChem,,Syllabus drug — ACE inhibitor,https://pubchem.ncbi.nlm.nih.gov/#query=Lisinopril,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Captopril,NCBI PubChem,,Syllabus drug — ACE inhibitor,https://pubchem.ncbi.nlm.nih.gov/#query=Captopril,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Amlodipine,NCBI PubChem,,Syllabus drug — Calcium-channel blocker,https://pubchem.ncbi.nlm.nih.gov/#query=Amlodipine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Nifedipine,NCBI PubChem,,Syllabus drug — Calcium-channel blocker,https://pubchem.ncbi.nlm.nih.gov/#query=Nifedipine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Verapamil,NCBI PubChem,,Syllabus drug — Calcium-channel blocker,https://pubchem.ncbi.nlm.nih.gov/#query=Verapamil,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Diltiazem,NCBI PubChem,,Syllabus drug — Calcium-channel blocker,https://pubchem.ncbi.nlm.nih.gov/#query=Diltiazem,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Furosemide,NCBI PubChem,,Syllabus drug — Loop diuretic,https://pubchem.ncbi.nlm.nih.gov/#query=Furosemide,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Hydrochlorothiazide,NCBI PubChem,,Syllabus drug — Thiazide diuretic,https://pubchem.ncbi.nlm.nih.gov/#query=Hydrochlorothiazide,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
